AU(T+D).SGE,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__,___,___,___,___,_5_,_4_,_3_,_2_,_1_,_1_,_2_,_3_,_4_,_5_,_5_,_4_,_3_,_2_,_1_,_1_,_2_,_3_,_4_,_5_,_6_,_7_,_8_,_9_,_10_
Time,last,volume,amt,settle,ask5,ask4,ask3,ask2,ask1,bid1,bid2,bid3,bid4,bid5,asize5,asize4,asize3,asize2,asize1,bsize1,bsize2,bsize3,bsize4,bsize5,bsize6,bsize7,bsize8,bsize9,bsize10
#NAME?,389.240,1726000.000,672723500.000,,389.850,389.700,389.650,389.550,389.130,389.010,389.000,388.800,388.700,388.600,2.000,1.000,1.000,1.000,9.000,10.000,3.000,50.000,50.000,51.000,,,,,
2022-10-20 09:00:01,389.240,1726000.000,672723500.000,,389.700,389.650,389.550,389.130,389.120,389.010,389.000,388.800,388.700,388.600,1.000,1.000,1.000,9.000,1.000,10.000,3.000,50.000,50.000,51.000,,,,,
2022-10-20 09:00:01,389.240,1726000.000,672723500.000,,389.990,389.850,389.700,389.650,389.550,389.010,389.000,388.800,388.700,388.600,1.000,2.000,1.000,1.000,1.000,10.000,3.000,50.000,50.000,51.000,,,,,
2022-10-20 09:00:02,389.240,1726000.000,672723500.000,,389.700,389.650,389.550,389.540,389.210,389.010,389.000,388.800,388.700,388.600,1.000,1.000,1.000,3.000,9.000,10.000,3.000,50.000,50.000,51.000,,,,,
2022-10-20 09:00:02,389.240,1726000.000,672723500.000,,389.650,389.550,389.540,389.210,389.200,389.010,389.000,388.800,388.700,388.600,1.000,1.000,2.000,9.000,4.000,10.000,3.000,50.000,50.000,51.000,,,,,
2022-10-20 09:00:03,389.240,1726000.000,672723500.000,,389.550,389.540,389.210,389.200,389.190,389.010,389.000,388.800,388.700,388.600,1.000,2.000,9.000,4.000,1.000,10.000,3.000,50.000,50.000,51.000,,,,,
2022-10-20 09:00:03,389.240,1726000.000,672723500.000,,389.540,389.210,389.200,389.190,389.180,389.010,389.000,388.800,388.700,388.600,2.000,9.000,3.000,1.000,1.000,10.000,3.000,50.000,50.000,51.000,,,,,
2022-10-20 09:00:03,389.240,1726000.000,672723500.000,,389.550,389.540,389.210,389.200,389.180,389.010,389.000,388.800,388.700,388.600,1.000,2.000,9.000,2.000,1.000,10.000,3.000,50.000,50.000,51.000,,,,,
2022-10-20 09:00:13,389.240,1726000.000,672723500.000,,389.550,389.540,389.210,389.200,389.180,389.020,389.010,389.000,388.800,388.700,1.000,2.000,9.000,2.000,1.000,1.000,10.000,3.000,50.000,50.000,,,,,
2022-10-20 09:00:16,389.240,1726000.000,672723500.000,,389.550,389.540,389.210,389.200,389.180,389.010,389.000,388.800,388.700,388.600,1.000,2.000,9.000,2.000,1.000,10.000,3.000,50.000,50.000,51.000,,,,,
2022-10-20 09:00:17,389.240,1726000.000,672723500.000,,389.540,389.410,389.210,389.200,389.180,389.010,389.000,388.800,388.780,388.700,2.000,5.000,9.000,2.000,1.000,10.000,3.000,50.000,5.000,50.000,,,,,
2022-10-20 09:00:18,389.240,1726000.000,672723500.000,,389.410,389.210,389.200,389.180,389.170,389.010,389.000,388.800,388.780,388.700,5.000,9.000,2.000,1.000,1.000,10.000,3.000,50.000,5.000,50.000,,,,,
2022-10-20 09:00:18,389.240,1726000.000,672723500.000,,389.410,389.210,389.200,389.170,389.160,389.010,389.000,388.800,388.780,388.700,5.000,9.000,2.000,1.000,1.000,10.000,3.000,50.000,5.000,50.000,,,,,
2022-10-20 09:00:19,389.240,1726000.000,672723500.000,,389.540,389.410,389.210,389.170,389.060,389.010,389.000,388.800,388.780,388.700,2.000,5.000,9.000,1.000,2.000,10.000,3.000,50.000,5.000,50.000,,,,,
2022-10-20 09:00:19,389.240,1726000.000,672723500.000,,389.550,389.540,389.410,389.210,389.170,389.010,389.000,388.800,388.780,388.700,1.000,2.000,5.000,9.000,1.000,10.000,3.000,50.000,5.000,50.000,,,,,
2022-10-20 09:00:20,389.240,1726000.000,672723500.000,,389.540,389.410,389.210,389.170,389.160,389.010,389.000,388.800,388.780,388.700,2.000,5.000,9.000,1.000,3.000,10.000,3.000,50.000,5.000,50.000,,,,,
2022-10-20 09:00:20,389.240,1726000.000,672723500.000,,389.410,389.210,389.170,389.160,389.060,389.010,389.000,388.800,388.780,388.700,5.000,9.000,1.000,4.000,2.000,10.000,3.000,50.000,5.000,50.000,,,,,
2022-10-20 09:00:20,389.240,1726000.000,672723500.000,,389.540,389.410,389.210,389.170,389.060,389.010,389.000,388.800,388.780,388.700,2.000,5.000,9.000,1.000,2.000,10.000,3.000,50.000,5.000,50.000,,,,,
2022-10-20 09:00:21,389.240,1726000.000,672723500.000,,389.540,389.410,389.210,389.170,389.060,389.000,388.800,388.780,388.700,388.600,2.000,5.000,9.000,1.000,2.000,3.000,50.000,5.000,50.000,51.000,,,,,
2022-10-20 09:00:21,389.240,1726000.000,672723500.000,,389.550,389.540,389.410,389.210,389.170,389.000,388.800,388.780,388.700,388.600,1.000,2.000,5.000,9.000,1.000,3.000,50.000,5.000,50.000,51.000,,,,,
2022-10-20 09:00:21,389.240,1726000.000,672723500.000,,389.540,389.410,389.210,389.170,389.160,389.000,388.800,388.780,388.700,388.600,2.000,5.000,9.000,1.000,5.000,3.000,50.000,5.000,50.000,51.000,,,,,
2022-10-20 09:00:25,389.240,1726000.000,672723500.000,,389.540,389.410,389.210,389.170,389.160,389.000,388.810,388.800,388.780,388.700,2.000,5.000,9.000,1.000,5.000,3.000,1.000,50.000,5.000,50.000,,,,,
2022-10-20 09:00:27,389.240,1726000.000,672723500.000,,389.540,389.410,389.210,389.170,389.160,389.000,388.810,388.800,388.780,388.700,2.000,5.000,9.000,1.000,5.000,4.000,1.000,50.000,5.000,50.000,,,,,
2022-10-20 09:00:27,389.240,1726000.000,672723500.000,,389.410,389.170,389.160,389.150,389.040,389.000,388.810,388.800,388.780,388.700,5.000,1.000,5.000,1.000,2.000,4.000,1.000,50.000,5.000,50.000,,,,,
2022-10-20 09:00:28,389.040,1730000.000,674279660.000,,389.540,389.410,389.170,389.160,389.150,389.000,388.810,388.800,388.780,388.700,2.000,5.000,1.000,1.000,1.000,4.000,1.000,50.000,5.000,50.000,,,,,
2022-10-20 09:00:28,389.040,1730000.000,674279660.000,,389.170,389.160,389.140,389.110,389.040,389.000,388.810,388.800,388.780,388.700,1.000,1.000,4.000,9.000,2.000,4.000,1.000,50.000,5.000,50.000,,,,,
2022-10-20 09:00:28,389.040,1734000.000,675835820.000,,389.540,389.410,389.170,389.160,389.110,389.000,388.810,388.800,388.780,388.700,2.000,5.000,1.000,1.000,9.000,4.000,1.000,50.000,5.000,50.000,,,,,
2022-10-20 09:00:28,389.040,1734000.000,675835820.000,,389.410,389.170,389.160,389.110,389.100,389.000,388.810,388.800,388.780,388.700,5.000,1.000,1.000,9.000,3.000,4.000,1.000,50.000,5.000,50.000,,,,,
