AU(T+D).SGE,#NAME?,,,,,,,,,,,,,,,,,,,,,,,
__,___,___,___,___,_5_,_4_,_3_,_2_,_1_,_1_,_2_,_3_,_4_,_5_,_5_,_4_,_3_,_2_,_1_,_1_,_2_,_3_,_4_,_5_
Time,last,volume,amt,settle,ask5,ask4,ask3,ask2,ask1,bid1,bid2,bid3,bid4,bid5,asize5,asize4,asize3,asize2,asize1,bsize1,bsize2,bsize3,bsize4,bsize5
#NAME?,392.890,2324000.000,913977020.000,,393.920,393.900,393.800,393.790,393.700,393.540,393.520,392.960,392.830,392.800,1.000,1.000,2.000,1.000,2.000,5.000,10.000,4.000,50.000,3.000
2022-10-25 09:00:00,392.890,2324000.000,913977020.000,,393.800,393.790,393.710,393.700,393.690,393.540,393.520,392.960,392.830,392.800,25.000,1.000,50.000,91.000,4.000,6.000,5.000,10.000,4.000,50.000
2022-10-25 09:00:00,392.890,2324000.000,913977020.000,,393.900,393.800,393.790,393.710,393.700,393.540,393.520,392.960,392.830,392.800,1.000,25.000,1.000,50.000,91.000,3.000,4.000,5.000,10.000,4.000
2022-10-25 09:00:01,392.890,2324000.000,913977020.000,,393.800,393.790,393.710,393.700,393.690,393.540,393.520,393.200,392.960,392.830,25.000,1.000,50.000,83.000,1.000,3.000,4.000,4.000,4.000,4.000
2022-10-25 09:00:01,392.890,2324000.000,913977020.000,,393.920,393.900,393.800,393.790,393.700,393.540,393.200,393.120,392.960,392.830,1.000,50.000,83.000,1.000,1.000,9.000,4.000,3.000,4.000,4.000
2022-10-25 09:00:02,392.890,2324000.000,913977020.000,,393.920,393.900,393.800,393.790,393.700,393.640,393.540,393.200,393.120,392.960,1.000,25.000,1.000,50.000,82.000,10.000,4.000,3.000,4.000,4.000
2022-10-25 09:00:02,393.640,2330000.000,916338860.000,,393.920,393.900,393.800,393.790,393.700,393.640,393.200,393.120,392.960,392.830,25.000,1.000,50.000,86.000,4.000,4.000,3.000,4.000,4.000,4.000
2022-10-25 09:00:02,393.640,2336000.000,918700700.000,,393.920,393.900,393.800,393.790,393.700,393.640,393.200,393.120,392.960,392.830,1.000,50.000,86.000,4.000,4.000,9.000,1.000,4.000,3.000,4.000
2022-10-25 09:00:02,393.640,2342000.000,921062540.000,,393.920,393.900,393.800,393.790,393.700,393.640,393.200,393.120,392.960,392.830,1.000,50.000,86.000,4.000,4.000,2.000,10.000,1.000,4.000,3.000
2022-10-25 09:00:03,393.640,2346000.000,922637100.000,,393.920,393.900,393.800,393.790,393.700,393.640,393.300,393.200,393.120,392.960,1.000,50.000,86.000,4.000,4.000,2.000,2.000,10.000,1.000,4.000
2022-10-25 09:00:03,393.640,2346000.000,922637100.000,,393.920,393.900,393.800,393.790,393.700,393.660,393.650,393.640,393.300,393.200,1.000,50.000,86.000,4.000,2.000,2.000,2.000,10.000,1.000,4.000
2022-10-25 09:00:04,393.640,2346000.000,922637100.000,,393.920,393.900,393.800,393.790,393.700,393.660,393.640,393.300,393.120,392.960,86.000,4.000,1.000,2.000,1.000,2.000,10.000,1.000,4.000,3.000
2022-10-25 09:00:05,393.640,2346000.000,922637100.000,,393.920,393.900,393.800,393.790,393.700,393.660,393.640,393.120,392.960,392.830,4.000,1.000,1.000,1.000,1.000,2.000,9.000,1.000,4.000,3.000
2022-10-25 09:00:07,393.640,2346000.000,922637100.000,,393.920,393.900,393.800,393.790,393.700,393.660,393.640,393.120,392.960,392.830,1.000,1.000,1.000,1.000,1.000,9.000,1.000,4.000,3.000,4.000
2022-10-25 09:00:19,393.660,2348000.000,923424420.000,,393.920,393.900,393.800,393.790,393.700,393.660,393.640,393.120,392.960,392.830,4.000,1.000,1.000,2.000,2.000,9.000,1.000,4.000,3.000,4.000
2022-10-25 09:00:19,393.660,2348000.000,923424420.000,,393.920,393.900,393.800,393.790,393.700,393.660,393.640,393.360,393.120,392.960,1.000,1.000,2.000,1.000,1.000,9.000,1.000,4.000,3.000,4.000
2022-10-25 09:00:20,393.700,2352000.000,924999220.000,,393.980,393.920,393.900,393.800,393.790,393.660,393.640,393.360,393.120,392.960,1.000,2.000,1.000,1.000,3.000,10.000,1.000,4.000,3.000,4.000
2022-10-25 09:00:20,393.700,2352000.000,924999220.000,,393.980,393.920,393.900,393.800,393.790,393.670,393.660,393.640,393.360,393.120,4.000,1.000,1.000,2.000,1.000,10.000,1.000,4.000,3.000,4.000
2022-10-25 09:00:20,393.700,2352000.000,924999220.000,,393.980,393.920,393.900,393.800,393.790,393.670,393.660,393.640,393.360,393.120,1.000,5.000,2.000,4.000,9.000,4.000,1.000,1.000,7.000,10.000
2022-10-25 09:00:22,393.700,2352000.000,924999220.000,,393.920,393.900,393.800,393.790,393.780,393.670,393.660,393.640,393.360,393.120,2.000,1.000,4.000,3.000,7.000,4.000,7.000,10.000,4.000,50.000
2022-10-25 09:00:22,393.700,2352000.000,924999220.000,,393.920,393.900,393.800,393.790,393.780,393.660,393.640,393.360,393.120,392.960,2.000,1.000,4.000,3.000,5.000,5.000,7.000,10.000,4.000,50.000
2022-10-25 09:00:23,393.700,2352000.000,924999220.000,,393.920,393.900,393.800,393.790,393.780,393.660,393.640,393.360,393.120,392.960,1.000,2.000,1.000,4.000,3.000,5.000,7.000,10.000,4.000,50.000
2022-10-25 09:00:23,393.700,2352000.000,924999220.000,,393.900,393.800,393.790,393.780,393.770,393.660,393.640,393.360,393.120,392.960,2.000,1.000,4.000,4.000,2.000,7.000,10.000,4.000,50.000,3.000
2022-10-25 09:00:24,393.700,2352000.000,924999220.000,,393.920,393.900,393.800,393.790,393.780,393.660,393.640,393.360,393.120,392.960,4.000,4.000,2.000,2.000,1.000,1.000,3.000,10.000,11.000,10.000
2022-10-25 09:00:25,393.700,2352000.000,924999220.000,,393.980,393.920,393.900,393.800,393.790,393.660,393.640,393.360,393.120,392.960,1.000,4.000,4.000,1.000,2.000,1.000,3.000,4.000,11.000,10.000
2022-10-25 09:00:25,393.700,2352000.000,924999220.000,,393.920,393.900,393.800,393.790,393.780,393.660,393.640,393.360,393.120,392.960,4.000,1.000,2.000,2.000,6.000,1.000,3.000,4.000,11.000,10.000
2022-10-25 09:00:26,393.700,2352000.000,924999220.000,,393.920,393.900,393.800,393.790,393.780,393.660,393.640,393.360,393.120,392.960,4.000,1.000,2.000,1.000,6.000,1.000,3.000,4.000,11.000,10.000
2022-10-25 09:00:27,393.700,2352000.000,924999220.000,,393.920,393.900,393.800,393.790,393.780,393.660,393.640,393.360,393.120,392.960,4.000,1.000,2.000,1.000,6.000,3.000,4.000,11.000,10.000,4.000
2022-10-25 09:00:27,393.700,2352000.000,924999220.000,,393.920,393.900,393.800,393.790,393.780,393.660,393.640,393.360,393.120,392.960,4.000,1.000,2.000,1.000,6.000,1.000,4.000,4.000,11.000,10.000
2022-10-25 09:00:29,393.700,2352000.000,924999220.000,,393.920,393.900,393.800,393.790,393.780,393.670,393.660,393.640,393.360,393.120,4.000,1.000,2.000,1.000,6.000,4.000,4.000,6.000,10.000,4.000
2022-10-25 09:00:30,393.700,2352000.000,924999220.000,,393.920,393.900,393.800,393.790,393.780,393.670,393.660,393.640,393.360,393.120,4.000,4.000,1.000,2.000,1.000,3.000,1.000,4.000,4.000,6.000
2022-10-25 09:00:30,393.700,2352000.000,924999220.000,,393.920,393.900,393.800,393.790,393.780,393.660,393.640,393.360,393.120,392.960,4.000,1.000,2.000,1.000,2.000,3.000,1.000,4.000,4.000,6.000
2022-10-25 09:00:32,393.700,2352000.000,924999220.000,,393.920,393.900,393.800,393.790,393.780,393.670,393.660,393.640,393.360,393.120,1.000,2.000,1.000,1.000,1.000,2.000,1.000,1.000,4.000,6.000
2022-10-25 09:00:33,393.700,2352000.000,924999220.000,,393.900,393.800,393.790,393.780,393.750,393.670,393.660,393.640,393.360,393.120,2.000,1.000,1.000,1.000,4.000,2.000,1.000,1.000,4.000,6.000
2022-10-25 09:00:33,393.700,2352000.000,924999220.000,,393.900,393.800,393.790,393.750,393.740,393.670,393.660,393.640,393.360,393.120,1.000,4.000,4.000,1.000,3.000,1.000,3.000,1.000,1.000,4.000
2022-10-25 09:00:33,393.700,2352000.000,924999220.000,,393.900,393.800,393.790,393.750,393.740,393.670,393.660,393.640,393.360,393.120,1.000,4.000,4.000,1.000,3.000,2.000,1.000,1.000,1.000,1.000
