__,____,O/N,1W,2W,1M,3M,6M,9M,1Y
2023-04-19,____,2.1200,2.0900,2.2900,2.3000,2.4000,2.5000,2.5800,2.6400
2023-04-19,____,2.1200,2.1000,2.3000,2.3500,2.4400,2.5200,2.6200,2.6500
2023-04-19,____,2.1300,2.0900,2.3000,2.3100,2.4200,2.5100,2.5900,2.6600
2023-04-19,____,2.1300,2.0900,2.2500,2.2500,2.4500,2.5000,2.5600,2.6500
2023-04-19,____,2.1400,2.1000,2.3000,2.3100,2.4300,2.5100,2.5900,2.6500
2023-04-19,____,2.1300,2.1000,2.3000,2.3100,2.4400,2.5200,2.6100,2.6400
2023-04-19,____,2.1300,2.0800,2.1500,2.1800,2.4400,2.5000,2.6000,2.6400
2023-04-19,____,2.1200,2.0800,2.2900,2.3100,2.4300,2.5100,2.5900,2.6500
2023-04-19,____,2.1200,2.1500,2.2900,2.1500,2.3800,2.4000,2.5000,2.6000
2023-04-19,____,2.1500,2.1000,2.1600,2.3100,2.4300,2.5100,2.5900,2.6500
2023-04-19,____,2.1400,2.1000,2.2500,2.3500,2.4700,2.5200,2.5500,2.6800
2023-04-19,____,2.1200,2.0700,2.3000,2.3100,2.4300,2.5200,2.5900,2.6500
2023-04-19,____,2.1300,2.1000,2.2900,2.3100,2.4300,2.5100,2.5900,2.6500
2023-04-19,____,2.1400,2.1000,2.2500,2.3100,2.4300,2.5100,2.5900,2.6500
2023-04-19,____,2.1500,2.0900,2.3000,2.3100,2.4300,2.5200,2.5900,2.6500
2023-04-19,____,2.1600,2.2000,2.2000,2.3500,2.4500,2.5500,2.6000,2.7000
2023-04-19,___,2.1300,2.1000,2.2900,2.3100,2.4200,2.5100,2.5900,2.6500
2023-04-19,____,2.1100,2.1100,2.3100,2.3200,2.4300,2.5100,2.5900,2.6500
2023-04-18,____,2.0400,2.0800,2.3000,2.3000,2.4000,2.5000,2.5800,2.6400
2023-04-18,____,2.0500,2.1000,2.3500,2.3500,2.4400,2.5200,2.6200,2.6500
2023-04-18,____,2.0400,2.0700,2.1200,2.3100,2.4200,2.5100,2.5900,2.6600
2023-04-18,____,2.0400,2.0900,2.1600,2.2500,2.4500,2.5000,2.5600,2.6500
2023-04-18,____,2.0600,2.1000,2.4000,2.3100,2.4300,2.5100,2.5900,2.6500
2023-04-18,____,2.0300,2.0800,2.3600,2.3100,2.4400,2.5200,2.6100,2.6400
2023-04-18,____,2.0300,2.0700,2.1000,2.1800,2.4300,2.5000,2.6000,2.6400
2023-04-18,____,2.0600,2.0600,2.0700,2.3100,2.4200,2.5100,2.5900,2.6500
2023-04-18,____,2.0300,2.0700,2.3600,2.1500,2.3800,2.4000,2.5000,2.6000
2023-04-18,____,2.0600,2.1000,2.3000,2.3100,2.4200,2.5100,2.5900,2.6500
2023-04-18,____,2.0600,2.0900,2.3800,2.3500,2.4700,2.5200,2.5500,2.6800
2023-04-18,____,2.0500,2.0700,2.3500,2.3100,2.4300,2.5200,2.5900,2.6500
2023-04-18,____,2.0400,2.0700,2.3600,2.3100,2.4300,2.5100,2.5900,2.6500
2023-04-18,____,2.0600,2.0800,2.3700,2.3100,2.4200,2.5100,2.5900,2.6500
2023-04-18,____,2.0600,2.0800,2.1000,2.3100,2.4200,2.5100,2.5900,2.6500
2023-04-18,____,2.0800,2.1000,2.2000,2.3500,2.4500,2.5500,2.6000,2.7000
2023-04-18,___,2.0300,2.0700,2.3700,2.3100,2.4200,2.5100,2.5900,2.6500
2023-04-18,____,2.0100,2.0600,2.1000,2.3200,2.4200,2.5100,2.5900,2.6500
2023-04-17,____,1.8200,2.0500,2.0800,2.3000,2.4000,2.5000,2.5800,2.6400
2023-04-17,____,1.8200,2.0500,2.2500,2.3000,2.4300,2.5100,2.6100,2.6400
2023-04-17,____,1.8100,2.0400,2.0500,2.3100,2.4200,2.5100,2.5900,2.6600
2023-04-17,____,1.8200,2.0500,2.1600,2.2500,2.4500,2.5000,2.5600,2.6500
2023-04-17,____,1.8300,2.0500,2.0600,2.3100,2.4300,2.5100,2.5900,2.6500
2023-04-17,____,1.8200,2.0500,2.0900,2.3100,2.4400,2.5200,2.6000,2.6400
2023-04-17,____,1.8100,2.0400,2.0700,2.1500,2.4300,2.5000,2.6000,2.6400
2023-04-17,____,1.8000,2.0300,2.0000,2.3100,2.4200,2.5100,2.5900,2.6500
2023-04-17,____,1.8100,2.0400,2.0500,2.1500,2.3800,2.4000,2.5000,2.6000
2023-04-17,____,1.8300,2.0500,2.0800,2.3100,2.4200,2.5100,2.5900,2.6500
2023-04-17,____,1.8300,2.0700,2.0000,2.3000,2.4600,2.5000,2.5500,2.6700
2023-04-17,____,1.8100,2.0300,2.0400,2.3100,2.4300,2.5200,2.5900,2.6500
