Date,O/N,1W,2W,1M,3M,6M,9M,1Y
2023-04-20,2.2070,2.1010,2.3310,2.3090,2.4290,2.5070,2.5890,2.6490
2023-04-19,2.1300,2.0970,2.2850,2.3100,2.4320,2.5120,2.5900,2.6500
2023-04-18,2.0470,2.0780,2.2860,2.3100,2.4260,2.5110,2.5900,2.6500
2023-04-17,1.8180,2.0480,2.0690,2.3080,2.4240,2.5090,2.5890,2.6490
2023-04-14,1.6050,2.0000,2.0150,2.3060,2.4220,2.5080,2.5880,2.6500
2023-04-13,1.3260,1.9980,2.0120,2.3070,2.4210,2.5090,2.5880,2.6500
2023-04-12,1.3900,1.9970,2.0450,2.3110,2.4180,2.5090,2.5870,2.6500
2023-04-11,1.4210,1.9850,2.1140,2.3120,2.4150,2.5080,2.5870,2.6500
2023-04-10,1.3240,2.0040,2.0570,2.3130,2.4140,2.5080,2.5870,2.6500
2023-04-07,1.3740,1.9970,2.0460,2.3220,2.4100,2.5070,2.5860,2.6490
2023-04-06,1.3400,1.9780,1.9460,2.3300,2.4140,2.5110,2.5860,2.6480
2023-04-04,1.1030,1.8700,1.8970,2.3430,2.4230,2.5160,2.5870,2.6540
2023-04-03,1.3540,1.9240,1.9850,2.3640,2.4290,2.5220,2.5930,2.6600
2023-03-31,1.8380,2.2150,2.6220,2.4000,2.4480,2.5390,2.5990,2.6660
2023-03-30,0.8360,2.1440,2.5850,2.4000,2.4540,2.5410,2.6000,2.6670
2023-03-29,0.9010,2.1570,2.6560,2.4000,2.4560,2.5420,2.6010,2.6710
2023-03-28,1.1210,2.0280,2.6130,2.4020,2.4640,2.5440,2.6040,2.6740
2023-03-27,1.1060,2.1170,2.5450,2.4000,2.4680,2.5470,2.6060,2.6760
2023-03-24,1.2880,1.7030,2.5500,2.3990,2.4730,2.5480,2.6060,2.6780
2023-03-23,1.5580,1.9370,2.4890,2.3990,2.4760,2.5540,2.6140,2.6830
2023-03-22,2.0240,2.0780,2.2600,2.3960,2.4790,2.5570,2.6210,2.6870
2023-03-21,2.4590,2.1980,2.4610,2.3980,2.4870,2.5660,2.6300,2.6990
